cik,fy,bankrupt_2y,assets,liabilities,current_assets,current_liabilities,cash,inventory,receivables,equity,retained_earnings,revenue,cogs,gross_profit,operating_income,net_income,rd_expense,sga_expense,interest_expense,depreciation,short_debt,long_debt,total_debt,debt,leverage_liabilities_assets,leverage_debt_assets,debt_equity,roa,asset_turnover,current_ratio,asset_growth,revenue_growth,lag_assets,lag_revenue,lag_roa,lag_leverage_debt_assets
1104038,2011,0,199527,,278804,892018,77330,35137,10193,-847664,,53722,,17772,,-665113,10553,,321586,13915,,,,,,0,0,-3.333448605953079,0.26924676860775737,0.3125542309684334,,,,,,
1104485,2011,0,509693965,229023864,80504772,119660595,152110701,,,-62309,7759192,,,,11505288,40611492,,,-585982,298137,,,,,0.4493360324562603,0,0,0.07967818885201045,,0.6727759627135399,,,,,,
1105472,2011,0,504715000,89414000,413526000,,125323000,15434000,53126000,-889501000,-889501000,259696000,113575000,153152000,-11384000,,64410000,,,10104000,,,,,0.177157405664583,0,0,,0.5145398888481618,,,,,,,
1106213,2011,0,241306,,18121,383525,1015,,,0,,0,,,,-5294,,,-184328,,,,,,,0,,-0.021938948886476094,0,0.04724854963822436,,,,,,
1108046,2011,0,51041,2355439,11801,2346936,2628,,0,-2304398,-16560796,2574,,,-1898797,-2880023,10357,,-210451,103834,,,,,46.14797907564507,0,0,-56.42567739660273,0.05043004643325954,0.00502825812037482,,,,,,
1109448,2011,0,7705938000,3086236000,,,650191000,,,-23168000,,2952105000,,,458862000,-36799000,,,3548000,60900000,0,,,,0.4005010162293027,0,0,-0.004775408263082314,0.3830948289487925,,0.06805295678134538,-0.16858108707535988,7214940000,3550683000,0.11631974763476896,0.034509919694411875
1118072,2011,0,1122,112128,348,,1122,,,708,,,,,,0,,,6778,,,,,,99.93582887700535,0,0,0,,,,,,,,
1118233,2011,0,318,115800,318,,0,,,-17000,,0,,,-32083,0,,,,0,,,,,364.1509433962264,0,0,0,0,,,,,,,
1120914,2011,0,,17541000,63460000,,34899000,,22121000,4000,,48438000,26526000,21912000,1328000,22000,17906000,16002000,,,,,,,,,0,,,,,,,,,
1122388,2011,0,,20913000,,14900000,14349000,,4243000,,-40776000,37707000,,39710000,1854000,3620000,10468000,,,1611000,,,,,,,,,,NaN,,,,,,
1125914,2011,0,163815000,53588000,66784000,34101000,36519000,,18795000,73405000,-17643000,2636000,,,44007000,14079000,,,,4752000,,,,,0.3271251106431035,0,0,0.08594451057595458,0.016091322528461984,1.9584176417113868,,,,,,
1127160,2011,0,676701000,632419000,,,40455000,,,-718000,7910000,,,,,0,,,6695000,,,,,,0.9345619409458534,0,0,0,,,,,,,,
1127342,2011,1,542201000,,,40647000,35554000,,7082000,246797000,-649341000,,,,,-181260000,,,18642000,38061000,,,,,,0,0,-0.334304068048565,,NaN,,,,,,
1132143,2011,0,37549000,,2476000,,,,,17199000,-107335000,,,,-25745000,,,,,4123000,,,,,,0,0,,,,,,,,,
1159427,2011,0,1502578000,1404943000,,,16584000,,,119054000,-64425000,,,,,-23121000,,,28279000,,33629000,,,33629000,0.9350216760793783,0.022380868081390785,0.28246845969056056,-0.015387553923989303,,,,,,,,
1163698,2011,0,45975000,,41917000,4773000,37425000,,,40769000,,,,23539000,,-3285000,5886000,,,,,,,,,0,0,-0.07145187601957585,,8.782107689084434,,,,,,
1166789,2011,0,790469000,1158593000,373652000,,11648000,,81031000,-173561000,-1205967000,400003000,,,,48577000,,,,,,,,,1.4657032723610919,0,0,0.06145339032903251,0.5060324946329331,,,,,,,
1174746,2011,0,,23825494000,32605391000,31800314000,,,114456000,44161000,1447423000,647371000,,,300773000,521741000,,33909000,22922000,111357000,,837500000,,837500000,,,18.964697357396798,,,1.0253166368105673,NaN,-0.20380209524793438,14959581000,813078000,0.020119012691598784,0.013937556138771534
1174907,2011,0,2720,,2720,295353,,,,38654,,,,,-209829,-44914,,,,,,,,,,0,0,-16.5125,,0.009209319018259507,,,,,,
1183276,2011,0,13130450,,2994899,,2911464,,,61869,-36616295,,,,-1582556,-1581369,,,,,,,,,,0,0,-0.12043524783994455,,,,,,,,
1212641,2011,0,3452930,37306,1098008,37777,21029,,148924,4095197,718380,,,,-552211,0,,,,,,,,,0.010804157628448883,0,0,0,,29.065516054742304,,,,,,
1224950,2011,0,,498676,261727,,,11174,,,,993621,,,-7887,-6306,,,,487610,,,,,,,,,,,,,,,,
1261379,2011,0,20066030,1292,,,175096,,,,,,,,,-746,,,,,,,,,0.00006438742491663772,0,,-0.00003717725927849206,,,,,,,,
1286043,2011,0,1193266118,658688532,,,15394528,,,375077842,,,,,29982282,-8270830,,,28532440,,,610926613,,610926613,0.5520047222190549,0.5119785132456095,1.6287995306318308,-0.006931253536187306,,,,,,,,
1294538,2011,0,,569471000,56803000,120473000,,7570000,,323000,,,,,,-58476000,,65075000,45540000,53369000,,,,,,,0,,,0.471499838138006,,,,,,
1295810,2011,0,3101240000,1236807000,263853000,,276034000,159000,3001000,-347922000,,,,,58718000,-269608000,,,70174000,127945000,,,,,0.39881047580967616,0,0,-0.08693554836130064,,,,,,,,
12978,2011,0,1827573000,,2014286000,1013301000,462326000,846463000,,-189661000,-533606000,1173956000,,1809180000,146466000,34894000,,,76363000,58869000,,,,,,0,0,0.01909308137075783,0.6423579249638729,1.9878456648123313,,,,,,
1305014,2011,0,1919000000,,3387000000,1687000000,352000000,21000000,1482000000,521000000,-645000000,,,,93000000,141000000,89000000,1442000000,,280000000,83000000,3648000000,,3731000000,,1.9442417926003126,7.161228406909789,0.07347576862949452,,2.007705986959099,-0.8002498178411575,,9607000000,,0.0173831581138753,0.16238159675236807
1316517,2011,0,112273750,56424875,74341448,,2294352,5886506,16999430,1937268,,,,,,0,1908134,,2922960,4714058,28434012,,,28434012,0.5025651588194034,0.25325609948897226,14.677376594255415,0,,,,,,,,
1316835,2011,0,,387579000,235349000,73855000,,,59691000,101224000,-194481000,677886000,621148000,157945000,-63733000,-61854000,,194092000,24939000,,,163801000,,163801000,,,1.6182031929186753,,,3.1866359758987204,,,,,,
1318084,2011,0,708800000,494700000,,,16100000,362300000,215700000,-11000000,147300000,6531600000,6881500000,434100000,28900000,26200000,,142500000,,22400000,,,,,0.6979401805869074,0,0,0.036963882618510156,9.215011286681715,,,,,,,
1324245,2011,0,40421000,749407000,560943000,214134000,371101000,,99682000,775044000,151366000,,,,,169057000,,187701000,1498000,83088000,,538018000,,538018000,18.540041067761805,13.310358477029267,0.694177362833594,4.182405185423418,,2.6195886687774945,,,,,,
1324272,2011,0,240220000,116689000,,,1681000,7358000,,341000,,352975000,,,25803000,0,,,7754000,16499000,,22000000,,22000000,0.48575888768628755,0.09158271584380984,64.51612903225806,0,1.4693822329531263,,,,,,,
1324404,2011,0,8754000000,,,948600000,625000000,304200000,,700000,1370800000,489500000,,55200000,679800000,448500000,,106100000,,59000000,,800000000,,800000000,,0.09138679460817911,1142.857142857143,0.05123372172721042,0.0559172949508796,NaN,2.5087578660467353,-0.8751625819285405,2494900000,3921100000,0.2743997755421059,0.7832378051224498
1324518,2011,0,8033000000,,898000000,1213000000,163000000,195000000,,6123000000,,5715000000,,,600000000,1378000000,,300000000,,553000000,,6823000000,,6823000000,,0.8493713432092618,1.11432304425935,0.17154238765093988,0.7114403087265032,0.7403132728771641,-0.35607214428857714,-0.022575679835813236,12475000000,5847000000,0.1669739478957916,0.23895791583166331
1325702,2011,0,,462893000,389707000,137639000,172172000,68435000,,0,72157000,772831000,526847000,243558000,91391000,74120000,,66640000,24984000,51224000,,,,,,,,,,2.8313704691257566,,,,,,
1326583,2011,0,942202000,,1275724000,167551000,400501000,,121335000,9462373000,-8580513000,,,,,54072000,,,11453000,28185000,,,,,,0,0,0.05738896754623743,,7.613944410955471,,,,,,
1326652,2011,0,31948000,15240000,27775000,12919000,2664000,7368000,,1000,-59167000,,,-7294000,-23916000,0,0,,1960000,1410000,,,,,0.4770251658945787,0,0,0,,2.149934205433857,,,,,,
1328571,2011,0,627990000,,,97886000,51094000,7058000,35523000,-11398000,,406793000,,,87401000,63285000,,,,58016000,,,,,,0,0,0.10077389767352983,0.6477698689469578,NaN,-0.3595506993042652,-0.2409247144088702,980546000,535906000,0.045718405867751236,0
1333274,2011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338690,2011,0,1015885000,,181745000,154167000,26448000,,125979000,237128000,-60204000,,,,35161000,-6867000,,,48254000,61901000,,500799000,,500799000,,0.492968200140764,2.1119353260686213,-0.006759623382567909,,1.1788839375482432,,,,,,
1339854,2011,0,9177747,,1239,3171007,,,,29748,,0,,,,-7067774,,,22471,,,,,,,0,0,-0.7700990232134314,0,0.0003907276142878272,,,,,,
1340786,2011,0,450002000,115996000,306928000,96079000,46519000,85854000,57654000,-523000,15357000,418134000,303789000,148536000,11825000,40284000,,53079000,,10688000,,,,,0.25776774325447444,0,0,0.08951960213510163,0.9291825369665023,3.1945378282455064,,,,,,
1344413,2011,0,48605000,,42414000,34383000,,,,0,,9514000,,,-47707000,-16625000,,,467000,4850000,,,,,,0,,-0.3420429996913898,0.1957411788910606,1.2335747316988046,,,,,,
1350773,2011,0,80461,353435,,,0,,,86,,,,,-80048,382734,,,14832,,,,,,4.392624998446452,0,0,4.756764146605188,,,,,,,,
1351285,2011,0,,98158000,,92735000,30626000,9928000,51997000,130872000,39069000,268449000,33427000,218844000,20532000,,26239000,,,,,,,,,,0,,,NaN,,,,,,
1353487,2011,0,4131943,,2510461,1036396,,,19050,-5067097,-5097097,,,,,-2937062,84304,,,56930,,,,,,0,0,-0.7108186148744066,,2.4222990053994806,,,,,,
1355786,2011,0,,,,,35873000,,,72479000,,,,,,465000,,,9107000,,,,,,,,0,,,,,,,,,
1355848,2011,0,2299748,,1588446,,,340782,,-911990,,3972663,,2386298,,-692883,,,,208859,,,,,,0,0,-0.30128648878050984,1.727434049295836,,,,,,,
1360565,2011,0,899404,643189,770136,,513076,,222480,1163787,-2157898,,,2348358,676523,0,,1440229,,,,,,,0.7151280181097704,0,0,0,,,,,,,,
1364479,2011,0,5230600000,15200900000,,,594266000,,1616382000,3205964000,-1123234000,5400000,,,,199120000,,641944000,333100000,,,,,,2.9061484342140482,0,0,0.03806829044469086,0.001032386341911062,,-0.6731369176122685,-0.9993665730015818,16002419000,8525055000,-0.07541022391677159,0
1364742,2011,0,178459000000,154534000000,,,2032000000,,,189000000,,,,,1278000000,875000000,,,68000000,,100000000,4690000000,,4790000000,0.865935593049384,0.026840899030029307,25.343915343915345,0.004903086983564852,,,0.0018807123127708787,,178124000000,,0.004401428218544385,0.03045631133367766
1365997,2011,0,534970000,493266000,,,7601000,,,-32453000,-32453000,,,,,-28251000,,,,,,,,,0.9220442267790717,0,0,-0.05280856870478719,,,,,,,,
1366649,2011,0,163342000,178778000,88594000,77484000,24559000,27102000,,-113801000,-215323000,198084000,11412000,105635000,-29263000,-46713000,54562000,,18016000,21219000,,,,,1.094501108104468,0,0,-0.28598278458694026,1.2126948366005068,1.1433844406587166,,,,,,
1368148,2011,0,19106000,,17944000,,8785000,,,-205214000,-218960000,2159000,,,-15615000,-13746000,11920000,,,,,,,,,0,0,-0.7194598555427615,0.11300115147074218,,,,,,,
1373179,2011,0,83196723,5056169,,,,,,,,,,,,,,,,,,,,,0.060773655712377035,0,,,,,,,,,,
